estou extremamente puto agora;raiva
estou furioso;raiva
não aguento mais essa merda;raiva
vai tomar no cu;raiva
vai se fuder;raiva
você é insuportável;raiva
vacilão morre cedo;raiva
eu vou te cobrir de porrada;raiva
Estou tão feliz que não consigo parar de sorrir;alegria
Minha alma está transbordando de alegria;alegria
Sinto uma alegria profunda dentro de mim;alegria
Essa notícia me encheu de alegria;alegria
A alegria está presente em cada respiração que dou;alegria
Estou tão feliz que poderia pular de alegria;alegria
A alegria está me inundando por completo;alegria
Não consigo conter a alegria que sinto agora;alegria
Estou tão feliz que parece que meu coração vai explodir;alegria
Esta é a alegria mais pura que já senti;alegria
Meu coração está radiante de alegria;alegria
Essa é uma alegria que nunca esquecerei;alegria
A alegria está fluindo em meu sangue;alegria
Não há nada melhor do que sentir a alegria em seu coração;alegria
Estou tão feliz que mal consigo acreditar;alegria
A alegria está transbordando em cada parte do meu corpo;alegria
Esta alegria é tão intensa que me faz querer abraçar o mundo inteiro;alegria
Sinto uma alegria tão grande que poderia chorar de felicidade;alegria
Não há nada que possa me tirar essa alegria maravilhosa;alegria
Estou tão feliz que sinto que posso voar;alegria
Essa alegria é a melhor sensação que já experimentei;alegria
A alegria está me fazendo sentir como se eu pudesse conquistar o mundo;alegria
Essa alegria me faz sentir vivo como nunca antes;alegria
Sinto uma alegria que preenche todo o meu ser;alegria
Sinto uma tristeza tão grande que parece que meu coração vai parar de bater;tristeza
Essa situação é tão triste que mal consigo suportar;tristeza
Estou com um nó na garganta que não consigo desfazer;tristeza
Essa notícia me encheu de alegria;alegria
A alegria está presente em cada respiração que dou;alegria
Estou tão feliz que poderia pular de alegria;alegria
A alegria está me inundando por completo;alegria
Não consigo conter a alegria que sinto agora;alegria
Estou tão feliz que parece que meu coração vai explodir;alegria
Esta é a alegria mais pura que já senti;alegria
Meu coração está radiante de alegria;alegria
Essa é uma alegria que nunca esquecerei;alegria
A alegria está fluindo em meu sangue;alegria
Não há nada melhor do que sentir a alegria em seu coração;alegria
Estou tão feliz que mal consigo acreditar;alegria
A alegria está transbordando em cada parte do meu corpo;alegria
Esta alegria é tão intensa que me faz querer abraçar o mundo inteiro;alegria
Sinto uma alegria tão grande que poderia chorar de felicidade;alegria
Não há nada que possa me tirar essa alegria maravilhosa;alegria
Estou tão feliz que sinto que posso voar;alegria
Essa alegria é a melhor sensação que já experimentei;alegria
A alegria está me fazendo sentir como se eu pudesse conquistar o mundo;alegria
Essa alegria me faz sentir vivo como nunca antes;alegria
Sinto uma alegria que preenche todo o meu ser;alegria
A alegria me deixa sem palavras;alegria
Não há nada mais gratificante do que sentir essa alegria pura;alegria
A alegria me faz querer dançar até o amanhecer;alegria
Estou tão feliz que sinto que posso viver para sempre;alegria
Sinto uma que me faz querer gritar de felicidade;alegria
Essa é como um raio de sol em um dia de chuva;alegria
A me faz sentir como se eu pudesse superar qualquer obstáculo;alegria
Estou tão feliz que sinto que posso abraçar o mundo inteiro;alegria
Essa é tão contagiante que quero compartilhá-la com todos ao meu redor;alegria
A é a melhor cura para qualquer tristeza;alegria
Sinto uma tão profunda que não consigo descrevê-la em palavras;alegria
Estou tão feliz que mal consigo parar de rir;alegria
Essa me faz sentir como se eu pudesse realizar qualquer coisa;alegria
A é a melhor emoção que podemos sentir;alegria
Estou tão feliz que sinto que posso espalhar essa para o mundo inteiro;alegria
Sinto uma tão intensa que parece que meu coração vai explodir de felicidade;alegria
A é como uma onda que me envolve e me faz sentir vivo;alegria
Essa é tão poderosa que me faz querer abraçar todas as pessoas ao meu redor;alegria
tem caroço nesse angu;raiva
Estou com tanta raiva que mal consigo respirar;raiva
Essa situação me deixa extremamente irritado;raiva
Minha raiva está transbordando e não consigo controlá-la;raiva
Estou tão furioso que quase sinto que vou explodir;raiva
Não posso acreditar que isso está acontecendo, minha raiva é incontrolável;raiva
Essa pessoa me fez perder completamente a paciência!;raiva
Minha raiva é tão forte que me faz querer gritar e quebrar tudo;raiva
Sinto uma raiva profunda e intensa que me consome por completo;raiva
Essa situação me deixa tão irado que sinto como se pudesse explodir a qualquer momento;raiva
Estou tão bravo que sinto que posso partir para a violência;raiva
Essa atitude me deixa com uma raiva tão grande que não consigo nem falar;raiva
Estou tão furioso que não consigo nem raciocinar direito;raiva
Sinto uma raiva que me faz querer sair correndo e nunca mais voltar;raiva
Essa pessoa me deixa tão irritado que sinto como se estivesse enlouquecendo;raiva
Estou com tanta raiva que sinto que meu coração vai explodir;raiva
Essa situação me deixa tão bravo que mal consigo me controlar;raiva
Minha raiva é tão forte que me faz querer bater em algo;raiva
Sinto uma raiva tão grande que não sei como lidar com ela;raiva
Estou com uma raiva que me faz querer quebrar tudo à minha volta;raiva
Essa pessoa me deixou tão irritado que sinto como se estivesse prestes a explodir;raiva
Estou com tanta raiva que mal consigo olhar para essa pessoa;raiva
Essa situação me deixa tão irritado que sinto como se estivesse perdendo a sanidade;raiva
Minha raiva é tão forte que me faz querer gritar até ficar rouco;raiva
Sinto uma raiva tão grande que não sei como lidar com ela;raiva
Estou com uma raiva tão intensa que me faz querer bater em algo;raiva
Essa pessoa me deixou tão irritado que sinto como se estivesse à beira de um ataque de nervos;raiva
Essa situação me deixa tão bravo que sinto como se pudesse explodir a qualquer momento;raiva
Minha raiva é tão forte que me faz querer chorar;raiva
